TIME,CH1
0.31232,0.64
0.31264,1
0.31296,0.68
0.31328,0.64
0.3136,0.6
0.31392,0.92
0.31424,1.12
0.31456,0.6
0.31488,0.96
0.3152,0.68
0.31552,0.76
0.31584,0.72
0.31616,0.72
0.31648,0.88
0.3168,0.64
0.31712,0.92
0.31744,0.84
0.31776,0.68
0.31808,0.68
0.3184,0.92
0.31872,0.92
0.31904,0.88
0.31936,0.72
0.31968,0.92
0.319999999999992,1.76
0.32032,2.08
0.32064,2.48
0.32096,2.88
0.32128,3.12
0.3216,3.28
0.32192,3.2
0.32224,3.24
0.32256,3.28
0.32288,3.2
0.3232,3.24
0.32352,3.08
0.32384,3.16
0.32416,3.32
0.32448,3.28
0.3248,3.12
0.32512,3.16
0.32544,3.32
0.32576,3.2
0.32608,3.16
0.3264,3.16
0.32672,3.04
0.32704,3.2
0.32736,3.2
0.32768,3.08
0.328,3.16
0.32832,3.2
0.32864,3.12
0.32896,3.16
0.32928,3.2
0.3296,3.08
0.32992,3.04
0.33024,2.84
0.33056,3.04
0.33088,3.16
0.3312,3.12
0.33152,3
0.33184,3.12
0.33216,3.16
0.33248,3
0.3328,3
0.33312,2.88
0.33344,2.88
0.33376,3.04
0.33408,3.04
0.3344,3
0.33472,3
0.33504,2.8
0.33536,3.04
0.33568,2.92
0.336,3
0.33632,2.88
0.33664,3.04
0.33696,2.92
0.33728,2.96
0.3376,2.84
0.33792,2.64
0.33824,2.88
0.33856,2.8
0.33888,3.04
0.3392,2.88
0.33952,2.76
0.33984,2.92
0.34016,2.68
0.34048,2.84
0.3408,2.92
0.34112,2.88
0.34144,2.92
0.34176,2.8
0.34208,2.88
0.3424,2.8
0.34272,2.92
0.34304,2.72
0.34336,2.88
0.34368,2.88
0.344,2.8
0.34432,2.8
0.34464,2.84
0.34496,2.8
0.34528,2.76
0.3456,2.68
0.34592,2.72
0.34624,2.76
0.34656,2.68
0.34688,2.64
0.3472,2.76
0.34752,2.6
0.34784,2.72
0.34816,2.68
0.34848,2.76
0.3488,2.64
0.34912,2.6
0.34944,2.72
0.34976,2.72
0.35008,2.52
0.3504,2.68
0.35072,2.68
0.35104,2.84
0.35136,2.6
0.35168,2.6
0.352,2.6
0.35232,2.72
0.35264,2.64
0.35296,2.68
0.35328,2.52
0.3536,2.6
0.35392,2.6
0.35424,2.48
0.35456,2.64
0.35488,2.44
0.3552,2.52
0.35552,2.6
0.35584,2.56
0.35616,2.6
0.35648,2.52
0.3568,2.4
0.35712,2.52
0.35744,2.4
0.35776,2.28
0.35808,2.4
0.3584,2.44
0.35872,2.72
0.35904,2.48
0.35936,2.36
0.35968,2.32
0.36,2.48
0.36032,2.52
0.36064,2.52
0.36096,2.4
0.36128,2.4
0.3616,2.44
0.36192,2.44
0.36224,2.44
0.36256,2.48
0.36288,2.4
0.3632,2.56
0.36352,2.44
0.36384,2.36
0.36416,2.56
0.36448,2.4
0.3648,2.36
0.36512,2.36
0.36544,2.32
0.36576,2.28
0.36608,2.4
0.3664,2.4
0.36672,2.44
0.36704,2.4
0.36736,2.32
0.36768,2.2
0.368,2.4
0.36832,2.28
0.36864,2.36
0.36896,2.36
0.36928,2.28
0.3696,2.28
0.36992,2.32
0.37024,2.28
0.37056,2.24
0.37088,2.36
0.3712,2.24
0.37152,2.36
0.37184,2.4
0.37216,2.28
0.37248,2.28
0.3728,2.2
0.37312,2.2
0.37344,2.2
0.37376,2.2
0.37408,2.24
0.3744,2.28
0.37472,2.28
0.37504,2.36
0.37536,2.16
0.37568,2.2
0.376,2.12
0.37632,2.2
0.37664,2.24
0.37696,2.24
0.37728,2.2
0.3776,2.2
0.37792,2.24
0.37824,2.24
0.37856,2.04
0.37888,2.28
0.3792,2.24
0.37952,2.12
0.37984,2.2
0.38016,2.04
0.38048,2.16
0.3808,2.28
0.38112,2.32
0.38144,2
0.38176,2.12
0.38208,2.24
0.3824,2.16
0.38272,2.16
0.38304,2.04
0.38336,2.2
0.38368,2.08
0.384,2.04
0.38432,2.2
0.38464,2.08
0.38496,2
0.38528,2
0.3856,2.08
0.38592,2.08
0.38624,2.12
0.38656,2
0.38688,2.16
0.3872,2.08
0.38752,2.08
0.38784,2.16
0.38816,2.04
0.38848,2.16
0.3888,2.16
0.38912,2.12
0.38944,2.12
0.38976,2
0.39008,2.04
0.3904,1.88
0.39072,2.16
0.39104,2.24
0.39136,1.96
